serial_no,event_id,event_name,event_type,event_theme,event_description,start_datetime,end_datetime,timezone,delivery_mode,location_venue,location_city,location_state,location_country,organizer_unit,organizer_contact_email,capacity,rsvp_required,registrations_count,attendees_count,feedback_score_avg
82,2195d632-d9f0-4b82-82b1-2cdff1f78da0,Career Fair 0082 • Consulting Case Prep,Career Fair,Consulting Case Prep,Join us for a career fair on Consulting Case Prep.,06/23/2026 18:00,06/23/2026 20:00,America/Chicago,In-person,Career Services Hall,Chicago,IL,USA,Cybersecurity Center,cybercenter@slu.edu,1458,1,1217,1098,4.02
83,91a819fa-e70a-4c8b-b415-e11755f5f8df,Career Fair 0083 • Networking with Employers,Career Fair,Networking with Employers,Join us for a career fair on Networking with Employers.,10/02/2020 14:00,10/02/2020 15:00,America/Los_Angeles,Hybrid,Tech Innovation Lab,Austin,TX,USA,Chaifetz School of Business,chaifetz-events@slu.edu,893,1,710,629,4.25
84,f674031d-caae-4ce2-8cd0-f9e7c4f3cc1c,Networking Night 0084 • AI & Data Analytics Careers,Networking Night,AI & Data Analytics Careers,Join us for a networking night on AI & Data Analytics Careers.,04/01/2022 10:00,04/01/2022 13:00,America/New_York,In-person,Data Science Hub,Seattle,WA,USA,Career Services,careerservices@slu.edu,364,1,327,265,3.68
85,6012eb09-a178-4722-b526-27ff0c3f1907,Networking Night 0085 • Graduate School Pathways,Networking Night,Graduate School Pathways,Join us for a networking night on Graduate School Pathways.,03/19/2024 10:00,03/19/2024 14:00,America/New_York,Virtual,Busch Student Center,St. Louis,MO,USA,Career Services,careerservices@slu.edu,325,0,161,144,3.88
86,f99393de-25ea-4504-bd07-e2d5bfa5ef8b,Networking Night 0086 • Product & Project Management,Networking Night,Product & Project Management,Join us for a networking night on Product & Project Management.,03/13/2020 10:00,03/13/2020 13:00,America/Los_Angeles,In-person,Alumni Center,Boston,MA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,288,0,213,180,3.52
87,bacf0b98-d155-41f8-a81e-0454e1c879d8,Guest Lecture 0087 • Resume & Interview Mastery,Guest Lecture,Resume & Interview Mastery,Join us for a guest lecture on Resume & Interview Mastery.,07/01/2021 14:00,07/01/2021 20:00,America/Chicago,In-person,Global Webinar Room,Online,NA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,189,1,104,85,3.95
88,9e77f07e-c577-4c08-a671-993bb0dc4895,Networking Night 0088 • Tech for Good,Networking Night,Tech for Good,Join us for a networking night on Tech for Good.,06/22/2025 18:00,06/22/2025 20:00,America/Los_Angeles,Hybrid,Alumni Center,Boston,MA,USA,Cybersecurity Center,cybercenter@slu.edu,313,1,274,221,4.05
89,af654434-f0aa-4886-81ae-ce566bb6ff9b,Networking Night 0089 • Resume & Interview Mastery,Networking Night,Resume & Interview Mastery,Join us for a networking night on Resume & Interview Mastery.,11/19/2023 18:00,11/20/2023 00:00,America/Chicago,In-person,Global Webinar Room,Online,NA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,370,1,138,110,3.76
90,fbe0bf21-1aaa-4a5d-845c-0f9e283e57b9,Meetup 0090 • Tech for Good,Meetup,Tech for Good,Join us for a meetup on Tech for Good.,11/02/2020 18:00,11/02/2020 20:00,America/New_York,In-person,Global Webinar Room,Online,NA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,114,0,109,86,4.93
91,97dab157-d1ee-46ca-bf13-c1ca78bc368f,Panel 0091 • Networking with Employers,Panel,Networking with Employers,Join us for a panel on Networking with Employers.,12/04/2026 14:00,12/04/2026 16:00,America/Los_Angeles,Virtual,Chaifetz Arena,St. Louis,MO,USA,Career Services,careerservices@slu.edu,119,1,68,65,4.18
92,31ef11fc-cad6-4e49-952e-e9f57eefb124,Panel 0092 • AI & Data Analytics Careers,Panel,AI & Data Analytics Careers,Join us for a panel on AI & Data Analytics Careers.,12/03/2026 10:00,12/03/2026 14:00,America/New_York,Virtual,Tech Innovation Lab,Austin,TX,USA,Career Services,careerservices@slu.edu,206,1,100,74,5.0
93,16768a2e-4c46-4ed9-8b66-3511543d22d5,Meetup 0093 • Product & Project Management,Meetup,Product & Project Management,Join us for a meetup on Product & Project Management.,07/21/2022 14:00,07/21/2022 17:00,America/Los_Angeles,In-person,Virtual Stage,Online,NA,USA,Data Science Institute,dsi@slu.edu,212,1,156,130,3.95
94,ede640da-92b0-41e4-b9bc-14ea2ccf93cc,Career Fair 0094 • Cybersecurity Trends,Career Fair,Cybersecurity Trends,Join us for a career fair on Cybersecurity Trends.,12/04/2024 18:00,12/05/2024 00:00,America/Los_Angeles,Virtual,Virtual Stage,Online,NA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,1197,1,521,411,3.71
95,a1b090b2-af96-45b9-ab0b-8542d693eaa9,Guest Lecture 0095 • AI & Data Analytics Careers,Guest Lecture,AI & Data Analytics Careers,Join us for a guest lecture on AI & Data Analytics Careers.,12/27/2026 10:00,12/27/2026 11:00,America/Los_Angeles,In-person,Virtual Stage,Online,NA,USA,School of Science & Engineering,sse-events@slu.edu,170,1,113,94,4.13
96,58fa25fb-b50f-4368-b9f7-0ec042588362,Guest Lecture 0096 • Cybersecurity Trends,Guest Lecture,Cybersecurity Trends,Join us for a guest lecture on Cybersecurity Trends.,08/14/2023 14:00,08/14/2023 18:00,America/Chicago,Hybrid,Data Science Hub,Seattle,WA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,118,1,80,80,3.58
97,ca229461-b2c5-42b7-9d86-b306d7a6055e,Guest Lecture 0097 • Resume & Interview Mastery,Guest Lecture,Resume & Interview Mastery,Join us for a guest lecture on Resume & Interview Mastery.,01/11/2023 18:00,01/11/2023 19:00,America/Chicago,Virtual,Career Services Hall,Chicago,IL,USA,Data Science Institute,dsi@slu.edu,156,1,120,118,3.97
98,834979be-4e58-47d4-b3bc-d39660faaa70,Guest Lecture 0098 • Product & Project Management,Guest Lecture,Product & Project Management,Join us for a guest lecture on Product & Project Management.,10/25/2024 10:00,10/25/2024 14:00,America/New_York,In-person,Virtual Stage,Online,NA,USA,Data Science Institute,dsi@slu.edu,185,1,125,112,4.09
99,f70929af-d998-4161-8030-f56548056601,Webinar 0099 • Graduate School Pathways,Webinar,Graduate School Pathways,Join us for a webinar on Graduate School Pathways.,04/02/2023 14:00,04/02/2023 22:00,America/New_York,In-person,Chaifetz Arena,St. Louis,MO,USA,School of Science & Engineering,sse-events@slu.edu,749,1,484,421,4.79
100,b5ce225a-a53f-4e61-9558-50cd9b6b0c35,Webinar 0100 • Graduate School Pathways,Webinar,Graduate School Pathways,Join us for a webinar on Graduate School Pathways.,08/11/2025 14:00,08/11/2025 18:00,America/Los_Angeles,In-person,Busch Student Center,St. Louis,MO,USA,Career Services,careerservices@slu.edu,600,1,309,245,3.59
101,bc77cef2-bc18-417f-b480-553d80c0ae1b,Career Fair 0101 • Networking with Employers,Career Fair,Networking with Employers,Join us for a career fair on Networking with Employers.,04/09/2021 18:00,04/09/2021 22:00,America/Chicago,In-person,Tech Innovation Lab,Austin,TX,USA,Alumni Office,alumni@slu.edu,895,1,281,205,4.25
102,22f9c710-c3ae-4c3a-9c8f-acc76c10ea58,Meetup 0102 • Resume & Interview Mastery,Meetup,Resume & Interview Mastery,Join us for a meetup on Resume & Interview Mastery.,06/30/2025 10:00,06/30/2025 18:00,America/New_York,Hybrid,Career Services Hall,Chicago,IL,USA,Alumni Office,alumni@slu.edu,223,0,159,132,4.5
103,a5ee3844-0c7d-4f2a-8920-02e7ee2df415,Guest Lecture 0103 • Entrepreneurship,Guest Lecture,Entrepreneurship,Join us for a guest lecture on Entrepreneurship.,04/30/2025 10:00,04/30/2025 12:00,America/Los_Angeles,In-person,Alumni Center,Boston,MA,USA,Career Services,careerservices@slu.edu,128,1,44,34,4.3
104,9d9e3a28-4f4f-4768-8252-cc2ce27192b5,Networking Night 0104 • Networking with Employers,Networking Night,Networking with Employers,Join us for a networking night on Networking with Employers.,03/24/2026 18:00,03/24/2026 20:00,America/Los_Angeles,In-person,Alumni Center,Boston,MA,USA,Cybersecurity Center,cybercenter@slu.edu,230,1,173,129,4.65
105,a4b71ef6-6fd5-4c67-8c6e-bd6554f6f470,Webinar 0105 • Networking with Employers,Webinar,Networking with Employers,Join us for a webinar on Networking with Employers.,11/11/2023 10:00,11/11/2023 12:00,America/Los_Angeles,In-person,Virtual Stage,Online,NA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,250,1,207,165,3.95
106,9d8ae761-5f74-4bba-9cf5-6b2b9e64f921,Hackathon 0106 • Tech for Good,Hackathon,Tech for Good,Join us for a hackathon on Tech for Good.,05/15/2023 10:00,05/15/2023 12:00,America/Chicago,In-person,Career Services Hall,Chicago,IL,USA,Career Services,careerservices@slu.edu,81,1,72,69,4.76
107,d25700c5-aa3b-404f-bc63-c030d70d719a,Panel 0107 • Resume & Interview Mastery,Panel,Resume & Interview Mastery,Join us for a panel on Resume & Interview Mastery.,03/22/2021 14:00,03/22/2021 17:00,America/New_York,Hybrid,Data Science Hub,Seattle,WA,USA,Data Science Institute,dsi@slu.edu,122,1,46,43,3.93
108,5c442c20-4508-4c89-a98b-9a9141bec1f9,Hackathon 0108 • Cybersecurity Trends,Hackathon,Cybersecurity Trends,Join us for a hackathon on Cybersecurity Trends.,09/15/2025 10:00,09/15/2025 12:00,America/Chicago,In-person,Alumni Center,Boston,MA,USA,Alumni Office,alumni@slu.edu,235,1,212,127,4.51
109,a435f14c-88e7-4c83-b5f2-b5b2b3669012,Guest Lecture 0109 • Cloud & DevOps Pathways,Guest Lecture,Cloud & DevOps Pathways,Join us for a guest lecture on Cloud & DevOps Pathways.,06/02/2024 10:00,06/02/2024 14:00,America/Los_Angeles,Hybrid,Career Services Hall,Chicago,IL,USA,Career Services,careerservices@slu.edu,182,1,150,90,3.72
110,d10f7598-5942-42d7-ab9b-18299fb124fb,Networking Night 0110 • Tech for Good,Networking Night,Tech for Good,Join us for a networking night on Tech for Good.,10/31/2022 10:00,10/31/2022 12:00,America/Chicago,Hybrid,Data Science Hub,Seattle,WA,USA,Career Services,careerservices@slu.edu,343,1,299,233,4.56
111,0994b102-bb29-439a-8f74-fbaee20879a6,Career Fair 0111 • Graduate School Pathways,Career Fair,Graduate School Pathways,Join us for a career fair on Graduate School Pathways.,09/17/2023 14:00,09/17/2023 18:00,America/Los_Angeles,Virtual,Global Webinar Room,Online,NA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,962,1,640,557,3.51
112,c53f458e-de3c-40c7-880f-ff0aa6a3844b,Hackathon 0112 • Consulting Case Prep,Hackathon,Consulting Case Prep,Join us for a hackathon on Consulting Case Prep.,07/14/2021 10:00,07/14/2021 16:00,America/Chicago,Virtual,Virtual Stage,Online,NA,USA,Career Services,careerservices@slu.edu,286,1,285,247,3.54
113,e67b33a9-c680-498a-b7fc-d3f00e9d4b06,Workshop 0113 • Networking with Employers,Workshop,Networking with Employers,Join us for a workshop on Networking with Employers.,02/12/2024 18:00,02/13/2024 02:00,America/Los_Angeles,Virtual,Busch Student Center,St. Louis,MO,USA,School of Science & Engineering,sse-events@slu.edu,96,1,92,56,4.67
114,6483de14-60b1-4a15-ae57-af0fb2887a6c,Career Fair 0114 • Graduate School Pathways,Career Fair,Graduate School Pathways,Join us for a career fair on Graduate School Pathways.,02/15/2021 10:00,02/15/2021 18:00,America/Los_Angeles,In-person,Career Services Hall,Chicago,IL,USA,Cybersecurity Center,cybercenter@slu.edu,993,0,951,919,3.81
115,431b7128-f7d1-4353-bf40-7b30a58a5fda,Meetup 0115 • Cloud & DevOps Pathways,Meetup,Cloud & DevOps Pathways,Join us for a meetup on Cloud & DevOps Pathways.,01/28/2024 10:00,01/28/2024 12:00,America/Los_Angeles,In-person,Busch Student Center,St. Louis,MO,USA,Career Services,careerservices@slu.edu,196,1,123,95,4.56
116,b923c321-d015-428c-9ef4-dbc4f11c17c6,Webinar 0116 • Consulting Case Prep,Webinar,Consulting Case Prep,Join us for a webinar on Consulting Case Prep.,12/30/2025 18:00,12/30/2025 22:00,America/Los_Angeles,Hybrid,Data Science Hub,Seattle,WA,USA,Cybersecurity Center,cybercenter@slu.edu,266,1,166,131,3.75
117,a01bd869-0a4a-4a30-b7cc-c376ac973ab2,Webinar 0117 • Networking with Employers,Webinar,Networking with Employers,Join us for a webinar on Networking with Employers.,08/04/2020 14:00,08/04/2020 18:00,America/Chicago,Hybrid,Data Science Hub,Seattle,WA,USA,Cybersecurity Center,cybercenter@slu.edu,577,1,471,406,4.97
118,4e8e684d-f7f1-48e4-92a9-fd72b707470f,Guest Lecture 0118 • Consulting Case Prep,Guest Lecture,Consulting Case Prep,Join us for a guest lecture on Consulting Case Prep.,02/06/2020 10:00,02/06/2020 11:00,America/New_York,In-person,Virtual Stage,Online,NA,USA,Data Science Institute,dsi@slu.edu,159,1,110,110,3.75
119,a5b32b96-1af2-4aad-bcc1-f75cbc45d7b8,Hackathon 0119 • Graduate School Pathways,Hackathon,Graduate School Pathways,Join us for a hackathon on Graduate School Pathways.,05/14/2021 18:00,05/14/2021 19:00,America/New_York,Virtual,Virtual Stage,Online,NA,USA,Data Science Institute,dsi@slu.edu,155,1,125,88,4.06
120,78ecbc13-ed3e-48b4-8ad0-f6339260f2b4,Panel 0120 • Tech for Good,Panel,Tech for Good,Join us for a panel on Tech for Good.,11/14/2026 18:00,11/14/2026 20:00,America/Chicago,Hybrid,Tech Innovation Lab,Austin,TX,USA,Alumni Office,alumni@slu.edu,159,1,52,39,4.77
121,4f1168f6-5a97-47aa-9043-7697c950d5fb,Career Fair 0121 • Consulting Case Prep,Career Fair,Consulting Case Prep,Join us for a career fair on Consulting Case Prep.,05/16/2020 14:00,05/16/2020 20:00,America/Los_Angeles,Hybrid,Virtual Stage,Online,NA,USA,School of Science & Engineering,sse-events@slu.edu,1420,1,726,585,4.9
122,66887f7a-fe14-42f3-b440-fddf21b1c079,Workshop 0122 • Graduate School Pathways,Workshop,Graduate School Pathways,Join us for a workshop on Graduate School Pathways.,01/22/2023 18:00,01/22/2023 22:00,America/Chicago,Virtual,Career Services Hall,Chicago,IL,USA,School of Science & Engineering,sse-events@slu.edu,177,1,107,88,4.38
123,a225adb8-fdb9-443a-90b1-e62323a74fb2,Hackathon 0123 • Graduate School Pathways,Hackathon,Graduate School Pathways,Join us for a hackathon on Graduate School Pathways.,04/22/2020 18:00,04/22/2020 19:00,America/Los_Angeles,Hybrid,Chaifetz Arena,St. Louis,MO,USA,Cybersecurity Center,cybercenter@slu.edu,357,1,261,197,4.13
124,cc279e35-a252-4de6-99ab-96cf81b9ab2a,Panel 0124 • Networking with Employers,Panel,Networking with Employers,Join us for a panel on Networking with Employers.,11/06/2020 10:00,11/06/2020 16:00,America/Los_Angeles,In-person,Tech Innovation Lab,Austin,TX,USA,Alumni Office,alumni@slu.edu,236,1,236,196,4.91
125,f132f780-99bc-4b9a-ab75-87e2416620db,Networking Night 0125 • Resume & Interview Mastery,Networking Night,Resume & Interview Mastery,Join us for a networking night on Resume & Interview Mastery.,08/28/2024 10:00,08/28/2024 18:00,America/Los_Angeles,In-person,Virtual Stage,Online,NA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,283,0,195,187,4.73
126,ca221738-b281-4b55-95b4-5ddbaccaec05,Panel 0126 • Graduate School Pathways,Panel,Graduate School Pathways,Join us for a panel on Graduate School Pathways.,09/18/2022 10:00,09/18/2022 14:00,America/New_York,Virtual,Busch Student Center,St. Louis,MO,USA,Cybersecurity Center,cybercenter@slu.edu,156,1,109,69,4.66
127,5648f846-61fc-4d03-8c9c-9a7a8c73357b,Meetup 0127 • Tech for Good,Meetup,Tech for Good,Join us for a meetup on Tech for Good.,06/04/2021 14:00,06/04/2021 16:00,America/New_York,Virtual,Tech Innovation Lab,Austin,TX,USA,Chaifetz School of Business,chaifetz-events@slu.edu,158,1,115,81,4.42
128,d83df150-a74a-4047-99a8-5b6d41df037d,Career Fair 0128 • Networking with Employers,Career Fair,Networking with Employers,Join us for a career fair on Networking with Employers.,08/19/2025 10:00,08/19/2025 11:00,America/Chicago,Virtual,Global Webinar Room,Online,NA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,1074,1,711,590,4.29
129,403ce6bb-1c08-4895-9fd4-4391fdb7e27b,Meetup 0129 • Graduate School Pathways,Meetup,Graduate School Pathways,Join us for a meetup on Graduate School Pathways.,06/18/2022 14:00,06/18/2022 15:00,America/New_York,Hybrid,Alumni Center,Boston,MA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,154,1,117,73,4.18
130,af7ae1a1-8529-43ac-9914-ebb1e76a086f,Webinar 0130 • Consulting Case Prep,Webinar,Consulting Case Prep,Join us for a webinar on Consulting Case Prep.,10/25/2022 14:00,10/25/2022 18:00,America/Los_Angeles,Virtual,Chaifetz Arena,St. Louis,MO,USA,School of Science & Engineering,sse-events@slu.edu,798,1,763,741,4.54
131,92214af6-211f-4e97-946a-ad207f40ccb6,Workshop 0131 • AI & Data Analytics Careers,Workshop,AI & Data Analytics Careers,Join us for a workshop on AI & Data Analytics Careers.,04/17/2020 18:00,04/17/2020 19:00,America/New_York,Virtual,Chaifetz Arena,St. Louis,MO,USA,Alumni Office,alumni@slu.edu,145,1,88,73,4.99
132,0d952275-6a4a-429d-a6d6-18c956d342e3,Meetup 0132 • Cloud & DevOps Pathways,Meetup,Cloud & DevOps Pathways,Join us for a meetup on Cloud & DevOps Pathways.,09/02/2025 14:00,09/02/2025 17:00,America/Chicago,Virtual,Data Science Hub,Seattle,WA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,71,1,28,16,4.5
133,d2712e8c-84d7-4490-9b25-7109063d22b7,Networking Night 0133 • Tech for Good,Networking Night,Tech for Good,Join us for a networking night on Tech for Good.,02/13/2020 10:00,02/13/2020 18:00,America/New_York,Hybrid,Tech Innovation Lab,Austin,TX,USA,Alumni Office,alumni@slu.edu,392,1,293,280,4.0
134,577eb530-ab5c-49f7-b074-0fdb705907d1,Networking Night 0134 • Entrepreneurship,Networking Night,Entrepreneurship,Join us for a networking night on Entrepreneurship.,04/22/2020 14:00,04/22/2020 15:00,America/Los_Angeles,In-person,Chaifetz Arena,St. Louis,MO,USA,School of Science & Engineering,sse-events@slu.edu,137,1,77,63,4.7
135,2a13e706-af12-4814-97fd-997fcca60f2a,Networking Night 0135 • Consulting Case Prep,Networking Night,Consulting Case Prep,Join us for a networking night on Consulting Case Prep.,01/18/2020 14:00,01/18/2020 22:00,America/Los_Angeles,Hybrid,Career Services Hall,Chicago,IL,USA,Data Science Institute,dsi@slu.edu,379,0,351,217,3.77
136,925267cd-3d82-4a3e-b820-023213b8fc19,Hackathon 0136 • Graduate School Pathways,Hackathon,Graduate School Pathways,Join us for a hackathon on Graduate School Pathways.,05/16/2026 14:00,05/16/2026 15:00,America/Los_Angeles,Virtual,Virtual Stage,Online,NA,USA,Alumni Office,alumni@slu.edu,335,1,230,216,4.61
137,1c9d0d58-39a4-4c56-9b1f-49d08e5eab38,Hackathon 0137 • Cybersecurity Trends,Hackathon,Cybersecurity Trends,Join us for a hackathon on Cybersecurity Trends.,02/12/2022 14:00,02/12/2022 20:00,America/Los_Angeles,Hybrid,Global Webinar Room,Online,NA,USA,School of Science & Engineering,sse-events@slu.edu,299,1,169,112,4.96
138,b60ff763-92b8-4f1b-abde-80845a18a82b,Panel 0138 • Product & Project Management,Panel,Product & Project Management,Join us for a panel on Product & Project Management.,10/13/2022 10:00,10/13/2022 12:00,America/New_York,Virtual,Busch Student Center,St. Louis,MO,USA,Career Services,careerservices@slu.edu,98,1,60,47,3.99
139,339a3c1e-ee98-4697-81f6-bd78a4e8f6ba,Workshop 0139 • Cloud & DevOps Pathways,Workshop,Cloud & DevOps Pathways,Join us for a workshop on Cloud & DevOps Pathways.,05/15/2021 18:00,05/16/2021 00:00,America/Los_Angeles,In-person,Global Webinar Room,Online,NA,USA,Career Services,careerservices@slu.edu,85,1,25,25,4.59
