serial_no,job_id,student_id,employer_id,job_title,job_family,job_level,job_type,employment_mode,location_city,location_state,location_country,offer_date,offer_accept_date,start_date,end_date,salary_currency,salary_base_annual,visa_type,source_channel,created_at
92,b54e1dba-19cb-4e1f-8712-c6395ccf5062,da925b9b-dfa0-4e23-bb07-62e7656cd3bb,EMP000092,Business Analyst,Consulting,Mid,Internship,On-site,St. Louis,MO,USA,06/30/2025,07/04/2025,10/29/2025,11/07/2026,USD,101669.0,H1B,Handshake,2025-10-25
93,ebe0b00d-3a4d-47a8-9f55-5958b9f6178b,8558c0f8-345d-4e5a-af55-df8b0c82cf4e,EMP000093,Business Analyst,Security,Intern,Full-time,On-site,Bengaluru,NA,India,05/18/2025,05/19/2025,09/13/2025,11/26/2026,USD,127998.0,H1B,Handshake,2025-10-25
94,d8da0426-5593-465d-aadc-5e3ba82b6863,c8c6b4df-25c6-4057-8aa3-e6d83639aaba,EMP000094,ML Engineer,Quality,Junior,Full-time,Remote,Boston,MA,USA,06/16/2023,06/22/2023,12/12/2023,07/28/2025,USD,93329.0,OPT,Career Fair,2025-10-25
95,2d336c6e-af3f-4c93-b56d-fcc0d96c65d8,b78f69a4-8cd2-4bf6-a358-e7e2f1ad98bc,EMP000095,Business Analyst,Consulting,Junior,Full-time,Remote,Chicago,IL,USA,08/19/2024,08/21/2024,12/01/2024,02/27/2026,USD,101474.0,OPT,Handshake,2025-10-25
96,83968f67-4957-48ae-b4b9-0dd8e8d82929,e198d4cb-2609-449e-8d9a-f666a22b03c1,EMP000096,Product Analyst,Engineering,Mid,Contract,Hybrid,Austin,TX,USA,04/22/2021,05/02/2021,10/17/2021,10/10/2023,USD,103914.0,OPT,LinkedIn,2025-10-25
97,50fef0fd-023c-4bdf-a4b5-f2440da1ee19,b50481e2-ba72-412a-a910-a9d3f3ceace6,EMP000097,Associate Consultant,Quality,Intern,Internship,On-site,Seattle,WA,USA,02/11/2022,02/19/2022,04/27/2022,12/17/2023,USD,113436.0,Other,Direct Apply,2025-10-25
98,8e7dab20-4417-4d77-8060-46ec4969f2c6,2c6a3f85-b889-4858-bf38-cffbe388878e,EMP000098,ML Engineer,Analytics,Junior,Internship,Remote,Seattle,WA,USA,05/23/2024,05/26/2024,11/28/2024,07/27/2026,USD,98337.0,OPT,Direct Apply,2025-10-25
99,4ceb289f-6189-409a-9085-bd919d42a380,9e11f3ae-1e92-422f-aa73-3de37f49a2a4,EMP000099,Software Engineer,Consulting,Intern,Contract,On-site,Chicago,IL,USA,01/16/2024,01/17/2024,09/11/2024,06/17/2026,USD,112753.0,OPT,LinkedIn,2025-10-25
100,cd02e896-11f4-422e-8497-a1aaaa441e10,455db512-2be7-4309-89ed-82633fcbfad7,EMP000100,Security Analyst,Consulting,Senior,Full-time,On-site,Chicago,IL,USA,04/16/2025,04/18/2025,11/13/2025,12/31/2026,USD,101546.0,Other,Direct Apply,2025-10-25
101,0311f619-fb92-419e-a07f-3ed03c6bfcea,99f18731-e39d-4959-b35d-05147855012b,EMP000101,Cloud Engineer,Consulting,Mid,Full-time,Remote,Hyderabad,NA,India,04/10/2023,04/19/2023,12/05/2023,06/23/2025,USD,124626.0,H1B,Referral,2025-10-25
102,7ffffd9c-ed7c-4319-a761-1e6705be0be6,19ed81e8-10a1-42c7-b8d1-67a8d99a082f,EMP000102,Cloud Engineer,Quality,Intern,Full-time,Hybrid,Bengaluru,NA,India,10/22/2022,11/04/2022,06/09/2023,11/16/2024,USD,136795.0,PR,Handshake,2025-10-25
103,e1d1a6b8-08c0-4507-9c88-12228471af27,725f96a8-97f1-4739-971d-442bed94dbc2,EMP000103,Cloud Engineer,Analytics,Intern,Full-time,Hybrid,Bengaluru,NA,India,03/26/2022,03/28/2022,09/04/2022,10/01/2023,USD,116694.0,STEM OPT,Career Fair,2025-10-25
104,941a2f0e-a2f4-4beb-947c-c8106b40c383,4e522258-476c-40b4-8f66-2b82036da7a7,EMP000104,Cloud Engineer,Consulting,Intern,Internship,On-site,Hyderabad,NA,India,10/19/2022,11/01/2022,06/05/2023,01/26/2025,USD,119826.0,H1B,Direct Apply,2025-10-25
105,4a3a0836-a2cb-4288-9284-52ab6da842ac,0c6dda06-384e-435e-87a2-75dd748f755c,EMP000105,QA Engineer,Consulting,Senior,Contract,On-site,Hyderabad,NA,India,04/18/2023,04/20/2023,12/09/2023,12/29/2024,USD,129390.0,H1B,Direct Apply,2025-10-25
106,e0170255-88be-459b-a304-d18890f54122,a2a38089-7659-4fba-a038-6088738c1adf,EMP000106,Cloud Engineer,Security,Junior,Internship,Remote,Chicago,IL,USA,04/03/2024,04/04/2024,08/22/2024,02/01/2026,USD,112101.0,Other,LinkedIn,2025-10-25
107,6b1e6998-31d5-4e55-be0e-857582cd7929,bde560d2-9803-4eae-a551-a6391d4277fd,EMP000107,Business Analyst,Consulting,Senior,Contract,Hybrid,Dallas,TX,USA,05/09/2024,05/17/2024,11/16/2024,01/25/2026,USD,112185.0,OPT,Career Fair,2025-10-25
108,df1225f7-d0db-4820-be3d-b5bf17d6fca0,13b22a6d-10c4-4e19-97b2-93be327996fe,EMP000108,Cloud Engineer,Analytics,Senior,Full-time,Remote,New York,NY,USA,11/04/2022,11/09/2022,06/06/2023,05/04/2025,USD,96023.0,OPT,LinkedIn,2025-10-25
109,45b442ff-0d39-4ccd-8da4-6af0e496f2b1,73c3909e-6579-4665-aeb0-68eece71ff4c,EMP000109,Cloud Engineer,Consulting,Mid,Internship,On-site,Austin,TX,USA,03/28/2024,03/28/2024,09/01/2024,09/18/2025,USD,112331.0,OPT,LinkedIn,2025-10-25
110,3a2ba03d-09db-497f-90be-b28c3e423fa4,981fd802-6611-4944-b62b-71f922c6c9b5,EMP000110,ML Engineer,Consulting,Junior,Internship,On-site,Chicago,IL,USA,07/13/2023,07/25/2023,12/10/2023,07/18/2025,USD,114865.0,OPT,Handshake,2025-10-25
111,64ecb45c-d510-41cf-b0a2-f9946aed2a64,12473b60-11ea-4b38-990f-ff26ae382477,EMP000111,Cloud Engineer,Consulting,Intern,Internship,On-site,Austin,TX,USA,02/06/2023,02/18/2023,07/27/2023,01/24/2025,USD,110177.0,H1B,Referral,2025-10-25
112,b9c8458c-cbfd-409e-95df-205ee484498f,4f1adae0-45a0-452e-87b2-f48a8f6a261c,EMP000112,Security Analyst,Security,Junior,Full-time,On-site,Seattle,WA,USA,02/21/2022,03/01/2022,05/26/2022,08/01/2023,USD,110998.0,OPT,Handshake,2025-10-25
113,1cce890f-592c-4e93-abbb-45a74e9d52ca,2219fe0d-7c47-46a4-8ecd-e89953e77314,EMP000113,Associate Consultant,Quality,Mid,Full-time,On-site,Hyderabad,NA,India,04/16/2023,04/18/2023,12/05/2023,08/12/2025,USD,120369.0,H1B,Referral,2025-10-25
114,d95a1b38-997a-40df-80f1-b0decadf2004,97ac71bd-02d5-4f58-b465-338756333465,EMP000114,Security Analyst,Analytics,Junior,Contract,Hybrid,Dallas,TX,USA,01/27/2023,01/29/2023,06/06/2023,04/24/2025,USD,130429.0,PR,Handshake,2025-10-25
115,acebc742-5381-446f-bc84-d85074d42cda,568d7894-002d-41ac-bfce-628e1272155d,EMP000115,Business Analyst,Consulting,Senior,Contract,Remote,Bengaluru,NA,India,12/29/2022,12/29/2022,04/19/2023,01/04/2025,USD,116083.0,STEM OPT,LinkedIn,2025-10-25
116,f9dcd145-0c84-48ad-b417-882f54107638,a1a419c2-e11e-4d70-8395-f207d1d0c0b3,EMP000116,Software Engineer,Product,Mid,Contract,On-site,New York,NY,USA,09/25/2024,09/29/2024,06/06/2025,11/16/2026,USD,107823.0,STEM OPT,Handshake,2025-10-25
117,ce072cad-cc4b-4b29-91d1-fe4f4918b100,667b4104-ac74-4b46-85c1-253cb927fd40,EMP000117,Associate Consultant,Security,Intern,Full-time,On-site,Bengaluru,NA,India,08/19/2025,08/21/2025,11/26/2025,12/31/2026,USD,131106.0,H1B,Handshake,2025-10-25
118,f13fc3e9-ce3b-4b48-b778-734de41aed9f,85989fe5-af67-40ca-bdde-a8a4bde02544,EMP000118,QA Engineer,Consulting,Junior,Contract,Hybrid,Hyderabad,NA,India,05/14/2021,05/20/2021,12/12/2021,11/07/2023,USD,110560.0,OPT,Handshake,2025-10-25
119,b2d73555-63d5-437d-a610-d8d6c337d55c,5e72b026-67f4-47ba-abb1-9aa8836a9da8,EMP000119,Software Engineer,Product,Intern,Contract,Remote,Austin,TX,USA,04/04/2026,04/15/2026,09/04/2026,12/31/2026,USD,118795.0,H1B,Direct Apply,2025-10-25
120,b2bb58a2-bc80-45d2-bb70-de528b83f67f,a1b9650a-657e-461b-97b8-c88e5029f88b,EMP000120,Product Analyst,Quality,Senior,Full-time,Remote,St. Louis,MO,USA,01/13/2024,01/20/2024,05/02/2024,06/20/2025,USD,105232.0,PR,Career Fair,2025-10-25
121,d7d12f0f-060b-45dd-8b0d-afeae858386e,f1bad8ed-f106-4790-9036-c38e274c9389,EMP000121,ML Engineer,Security,Senior,Contract,Hybrid,New York,NY,USA,02/25/2024,03/08/2024,06/08/2024,01/04/2026,USD,113138.0,OPT,Career Fair,2025-10-25
122,6903b044-b650-4ece-82ac-c474ce9181a2,ce6bfbcc-3381-4517-8712-eb3c4dcda869,EMP000122,Cloud Engineer,Engineering,Junior,Full-time,Hybrid,Seattle,WA,USA,03/26/2022,04/02/2022,11/30/2022,10/19/2024,USD,117717.0,OPT,LinkedIn,2025-10-25
123,35a4b337-74c5-4eee-855e-09141e78ffc8,c9cb2f5e-fe3a-45a6-b105-fb2ae75e333e,EMP000123,Data Analyst,Security,Junior,Contract,Remote,Chicago,IL,USA,05/23/2025,05/29/2025,11/03/2025,12/31/2026,USD,104831.0,STEM OPT,Referral,2025-10-25
124,a20a0a3a-ecc3-44ff-814d-b99f104f7bd2,e9d611d4-4edb-43b3-9f2f-c039eb168dda,EMP000124,Business Analyst,Quality,Mid,Internship,Hybrid,St. Louis,MO,USA,12/31/2020,01/09/2021,05/03/2021,01/30/2023,USD,117897.0,Other,Career Fair,2025-10-25
125,71d68c74-50b1-4b37-a87c-567b4766990c,c1b3821d-13d1-4318-b5f2-7b2e718a056c,EMP000125,QA Engineer,Engineering,Mid,Internship,On-site,Bengaluru,NA,India,05/12/2024,05/18/2024,11/20/2024,12/16/2025,USD,99318.0,OPT,Direct Apply,2025-10-25
126,2314e289-b8bd-4d34-8fc6-05d79daecab0,c987593d-3e27-4d2c-b462-fdac906c5f93,EMP000126,Business Analyst,Security,Mid,Contract,Hybrid,Chicago,IL,USA,02/10/2023,02/13/2023,07/27/2023,03/03/2025,USD,99147.0,Other,LinkedIn,2025-10-25
127,500d3bde-009c-495e-96cc-999dd852b867,9c09da73-bfca-45d8-9afe-f2f009109d8d,EMP000127,Business Analyst,Analytics,Junior,Internship,Remote,Boston,MA,USA,05/28/2021,06/10/2021,12/06/2021,10/30/2023,USD,106399.0,OPT,Handshake,2025-10-25
128,afb52afe-192f-4cec-8baa-c2ff908892f8,aa1e7464-a500-47f8-b0bf-0f7f96b65f37,EMP000128,Software Engineer,Engineering,Mid,Internship,Hybrid,Chicago,IL,USA,08/28/2023,08/31/2023,11/28/2023,11/21/2025,USD,90538.0,STEM OPT,Career Fair,2025-10-25
129,1852356b-26ec-497b-9e43-e7aabffeb487,a581db0b-4143-4327-a800-9a82e0fffe37,EMP000129,Security Analyst,Engineering,Senior,Contract,Remote,Boston,MA,USA,01/22/2025,01/23/2025,07/29/2025,12/31/2026,USD,114881.0,OPT,Handshake,2025-10-25
130,b9ee7bc5-f485-4005-834c-0fd27c190928,d763318e-2c1d-4617-98d7-414067be6585,EMP000130,QA Engineer,Engineering,Mid,Full-time,Remote,St. Louis,MO,USA,04/01/2024,04/04/2024,07/17/2024,05/23/2026,USD,92084.0,OPT,Handshake,2025-10-25
131,a036dcfd-6209-4361-9b3a-7ed7a312932c,a08006fc-160a-4ea5-9e8d-f617e8e4c421,EMP000131,Data Engineer,Quality,Intern,Internship,Remote,St. Louis,MO,USA,05/06/2022,05/07/2022,08/05/2022,04/15/2024,USD,90103.0,OPT,LinkedIn,2025-10-25
132,b6e9f70b-b5ef-45dd-ab00-d192db72951a,ca13c093-7d12-4f73-8227-c5290945cf50,EMP000132,ML Engineer,Security,Junior,Full-time,Hybrid,Austin,TX,USA,04/30/2025,05/07/2025,07/20/2025,12/31/2026,USD,114384.0,OPT,Direct Apply,2025-10-25
133,c0a17080-3023-4d68-857f-41790b9e56aa,50acdf85-53b2-4c7e-8406-89aa38e739a9,EMP000133,Associate Consultant,Engineering,Junior,Full-time,Hybrid,Chicago,IL,USA,01/18/2025,01/22/2025,08/03/2025,12/31/2026,USD,132715.0,Citizen,Direct Apply,2025-10-25
134,6dde5d2c-0d94-4bec-aa8a-a80e6ff42454,f47a10f1-faa6-45a4-9104-807e0790775c,EMP000134,Software Engineer,Consulting,Mid,Contract,Hybrid,Boston,MA,USA,12/24/2021,12/27/2021,08/20/2022,05/25/2024,USD,119635.0,H1B,Handshake,2025-10-25
135,6b23ffbf-4563-4e17-b14a-9bdd0ea721b4,413edf60-3f22-45e7-a76a-093c3477274b,EMP000135,Product Analyst,Quality,Intern,Contract,Hybrid,New York,NY,USA,06/12/2022,06/26/2022,08/11/2022,08/01/2024,USD,105654.0,Citizen,Direct Apply,2025-10-25
136,f50bc799-0bee-47c8-af95-2d9f5da96ea1,02d9a1b3-2068-4943-bb36-77aa9c10d1b3,EMP000136,Security Analyst,Engineering,Senior,Internship,On-site,Austin,TX,USA,04/19/2025,04/25/2025,11/02/2025,11/08/2026,USD,114053.0,STEM OPT,Direct Apply,2025-10-25
137,3e97e708-ed7c-471a-ba74-59b0ed4a1b5f,285d2835-faf4-4a8e-98fe-d40cccfa0b9a,EMP000137,Product Analyst,Engineering,Mid,Contract,Remote,Dallas,TX,USA,12/24/2021,12/29/2021,04/24/2022,06/20/2023,USD,119564.0,OPT,LinkedIn,2025-10-25
138,d2c46525-7d94-431b-b494-a81a6226afa1,5b1663aa-2fe2-46d2-9a1d-efc924a33a36,EMP000138,Software Engineer,Product,Senior,Full-time,On-site,Chicago,IL,USA,06/07/2026,06/15/2026,08/14/2026,12/31/2026,USD,115163.0,STEM OPT,Career Fair,2025-10-25
139,824011e7-2c88-4191-980d-4619a67c3594,d87b8ecf-d8f8-4f5b-b6ea-4d8082c6d9be,EMP000139,QA Engineer,Product,Junior,Full-time,On-site,Bengaluru,NA,India,10/19/2021,10/23/2021,05/24/2022,04/12/2024,USD,93003.0,STEM OPT,Career Fair,2025-10-25
140,afcff775-e357-4b1c-9384-1e2eace09e4a,280773ef-3d81-449f-9124-3cd1217fd547,EMP000140,ML Engineer,Product,Mid,Contract,Hybrid,Boston,MA,USA,04/07/2025,04/20/2025,08/16/2025,12/31/2026,USD,115603.0,OPT,Direct Apply,2025-10-25
141,949ca6ef-7a6d-46c4-b200-47fe38c45039,9aaff0ba-276e-4554-afe2-2c5d99ee1ecb,EMP000141,Associate Consultant,Security,Intern,Contract,Remote,Bengaluru,NA,India,09/25/2023,09/27/2023,05/18/2024,01/20/2026,USD,124872.0,STEM OPT,Direct Apply,2025-10-25
142,4542abee-b9af-47a3-9035-be97334e6f71,0f6b19da-342b-4550-919b-177fe8f5afbe,EMP000142,Data Analyst,Consulting,Intern,Contract,Hybrid,Boston,MA,USA,12/26/2021,01/05/2022,05/17/2022,08/01/2023,USD,109150.0,OPT,Direct Apply,2025-10-25
143,f048968d-8cee-43e3-9ddf-5f15a50fac3d,04d47c57-d150-45ea-9fbc-ec9f435e1753,EMP000143,Cloud Engineer,Product,Mid,Contract,On-site,Seattle,WA,USA,04/21/2026,05/03/2026,07/17/2026,12/31/2026,USD,127651.0,H1B,Handshake,2025-10-25
144,3fc54771-3c1b-450f-9fe8-924d968ee7a1,8706319b-9490-4d70-9219-734a4917509e,EMP000144,Cloud Engineer,Product,Junior,Contract,On-site,Bengaluru,NA,India,06/10/2021,06/21/2021,09/04/2021,06/08/2023,USD,87125.0,OPT,LinkedIn,2025-10-25
145,958ab290-413e-4835-b1a4-2a1db35cd126,f6f3c523-1281-4b0c-ae61-3429fe411738,EMP000145,ML Engineer,Product,Senior,Internship,On-site,Seattle,WA,USA,12/18/2022,12/28/2022,06/04/2023,05/04/2025,USD,125264.0,Other,LinkedIn,2025-10-25
146,943e71bb-6e60-4001-bf84-04af109cb809,9796bec9-e717-4034-a03e-789ec101e65c,EMP000146,Product Analyst,Security,Junior,Full-time,Remote,Chicago,IL,USA,07/31/2022,08/09/2022,10/18/2022,05/28/2024,USD,121610.0,Citizen,Referral,2025-10-25
147,04e62cd6-35c7-426c-bf8d-8595270c1b81,d3d87cc3-b1ce-4fd6-ab61-53b601e42988,EMP000147,Software Engineer,Quality,Intern,Contract,Remote,Austin,TX,USA,06/13/2022,06/20/2022,08/31/2022,10/04/2023,USD,128134.0,PR,Handshake,2025-10-25
148,384c9dad-2769-4430-ac73-936cafdd9a8b,3ac6c906-f255-4f96-bab5-0ecdf2e0d991,EMP000148,Associate Consultant,Analytics,Junior,Contract,Hybrid,Hyderabad,NA,India,03/21/2024,03/28/2024,10/26/2024,07/01/2026,USD,108839.0,STEM OPT,Direct Apply,2025-10-25
149,2390acb7-4af4-4bb4-96b0-8d6784df416f,9c3ae585-b418-4171-9e68-f493e0392a2a,EMP000149,Security Analyst,Product,Senior,Internship,Hybrid,Austin,TX,USA,09/01/2026,09/12/2026,12/09/2026,12/31/2026,USD,91208.0,STEM OPT,Career Fair,2025-10-25
150,fac5525f-0ebb-4414-aae6-6ae160783154,d0e640e6-38af-4825-b184-e2724e43652a,EMP000150,Product Analyst,Security,Mid,Contract,On-site,New York,NY,USA,04/07/2022,04/08/2022,08/04/2022,01/22/2024,USD,92468.0,STEM OPT,Direct Apply,2025-10-25
151,d0c7c820-a6c0-436b-aaa1-8b56f9a4b33a,1cd75403-d216-4c77-9ba7-e5d6a2fd426b,EMP000151,Product Analyst,Analytics,Junior,Internship,Remote,St. Louis,MO,USA,11/26/2020,11/29/2020,05/06/2021,02/27/2023,USD,113047.0,STEM OPT,LinkedIn,2025-10-25
152,5472ba93-4ecb-45d0-8fcf-198b0cd6223d,d2746949-7e25-42aa-9692-1a09fb772722,EMP000152,Software Engineer,Product,Senior,Contract,Hybrid,Dallas,TX,USA,04/21/2022,04/23/2022,07/28/2022,03/04/2024,USD,134916.0,PR,Referral,2025-10-25
153,4e3d91cb-e2e0-4fa3-939a-8cc596687bd4,14559115-e30f-4a29-b819-f8c4c9eac01f,EMP000153,Data Engineer,Consulting,Senior,Full-time,Remote,Austin,TX,USA,01/25/2026,01/30/2026,07/23/2026,12/31/2026,USD,99861.0,STEM OPT,Handshake,2025-10-25
154,a23bc65b-e3da-4e3d-966d-85cd51562965,f236ae57-5a4f-42d7-8c4a-44bfb5a38147,EMP000154,QA Engineer,Security,Junior,Contract,On-site,Bengaluru,NA,India,01/12/2026,01/18/2026,06/01/2026,12/31/2026,USD,108540.0,OPT,Direct Apply,2025-10-25
155,d12376c1-3bdc-4955-8f38-b2184b0112ae,2113a339-39a9-498a-bb89-f0541fd18dd3,EMP000155,QA Engineer,Security,Junior,Contract,On-site,Hyderabad,NA,India,05/03/2025,05/07/2025,07/19/2025,12/31/2026,USD,119755.0,Citizen,LinkedIn,2025-10-25
156,efd54528-6531-4e5a-a4b8-431a305ef401,4a2e1693-437b-4a9c-a86a-1c5397c65b68,EMP000156,Security Analyst,Consulting,Senior,Contract,Hybrid,Austin,TX,USA,04/08/2024,04/09/2024,07/30/2024,10/20/2025,USD,109394.0,Other,Handshake,2025-10-25
157,b189368c-700a-4dd9-9e45-3581ca1b1edf,5ff76cb0-fcde-4495-8cd5-e26456b02bad,EMP000157,Data Analyst,Quality,Mid,Contract,Hybrid,Bengaluru,NA,India,11/12/2022,11/24/2022,04/17/2023,05/28/2024,USD,90727.0,OPT,Handshake,2025-10-25
158,26271994-eb5f-4779-9681-9c575ba0ff43,50bc1af0-dd49-4414-98dc-55a58d0dba04,EMP000158,Associate Consultant,Quality,Senior,Internship,On-site,Austin,TX,USA,06/09/2026,06/14/2026,08/07/2026,12/31/2026,USD,127719.0,H1B,Referral,2025-10-25
159,6a3cd5a2-5f81-4634-9dd7-8bb377c9872f,435947cc-ec66-4788-bf20-6b422c17c7ed,EMP000159,Software Engineer,Engineering,Intern,Contract,On-site,Austin,TX,USA,05/31/2024,06/02/2024,08/19/2024,01/04/2026,USD,107320.0,OPT,Direct Apply,2025-10-25
160,3c38b859-85ea-47b8-9041-d55d6e744adc,f6ab8f25-f20d-49f9-beea-ed0e337a9e38,EMP000160,Associate Consultant,Analytics,Intern,Internship,Hybrid,Hyderabad,NA,India,10/21/2024,10/30/2024,05/12/2025,09/16/2026,USD,95390.0,STEM OPT,Direct Apply,2025-10-25
161,2cc8ebe2-7957-44da-9a22-b9d4d0502485,42cdd79d-b0cf-42ce-be89-10fc95819ca9,EMP000161,Security Analyst,Engineering,Intern,Internship,Hybrid,Boston,MA,USA,06/29/2022,07/08/2022,12/01/2022,09/21/2024,USD,128800.0,H1B,Referral,2025-10-25
162,c37746ee-8854-4afc-8b56-19608673591a,15e124a7-a63c-4abc-a19f-54327be861a6,EMP000162,Data Engineer,Product,Mid,Contract,Hybrid,Bengaluru,NA,India,02/12/2023,02/20/2023,05/09/2023,04/15/2025,USD,86478.0,OPT,Career Fair,2025-10-25
163,78cabd53-3fe7-4fdf-b2ff-716bc0709fda,a7ab8405-1442-4195-8956-63eef00b40df,EMP000163,Associate Consultant,Product,Intern,Contract,Hybrid,Boston,MA,USA,01/24/2024,02/03/2024,04/14/2024,09/19/2025,USD,121504.0,STEM OPT,Handshake,2025-10-25
164,89135097-f037-44d7-b101-fd53776cac8e,d4660d6a-7c92-458c-b8ae-f67685595a9b,EMP000164,Software Engineer,Quality,Junior,Internship,Remote,Dallas,TX,USA,02/13/2026,02/22/2026,08/22/2026,12/31/2026,USD,111798.0,H1B,Direct Apply,2025-10-25
165,74c17666-f531-4f10-92c4-196f4fd29ce1,266d929e-bded-4956-823d-5ea57b4fb090,EMP000165,Business Analyst,Consulting,Mid,Full-time,Remote,Chicago,IL,USA,04/18/2023,04/18/2023,11/10/2023,05/19/2025,USD,123347.0,STEM OPT,Direct Apply,2025-10-25
166,759eaddf-2fd2-4556-b945-118051aa3765,d0c1cfe2-ce83-4289-9bb8-e7e952362535,EMP000166,Software Engineer,Quality,Mid,Full-time,On-site,Boston,MA,USA,04/04/2023,04/18/2023,08/12/2023,03/08/2025,USD,118120.0,STEM OPT,Handshake,2025-10-25
167,292f9262-4bdc-4daa-ba5f-1c8a9532275f,91b6c7b1-6ad5-4c1b-b68e-610189f10acd,EMP000167,Data Analyst,Security,Senior,Full-time,On-site,St. Louis,MO,USA,08/20/2022,08/21/2022,10/23/2022,02/08/2024,USD,105383.0,PR,Referral,2025-10-25
168,46e4e8e2-bce3-427f-9c42-1447d71ab868,dea111f2-9d87-4137-870b-66fd0a806be2,EMP000168,ML Engineer,Product,Junior,Contract,Hybrid,Dallas,TX,USA,01/23/2021,02/04/2021,08/30/2021,10/09/2022,USD,104522.0,H1B,Career Fair,2025-10-25
169,8fc137cd-2ce3-40ce-972f-9fcbf77972ad,f5800fca-926f-4937-81e2-2b00788d276c,EMP000169,ML Engineer,Product,Senior,Full-time,On-site,Dallas,TX,USA,04/24/2026,04/24/2026,08/31/2026,12/31/2026,USD,107679.0,STEM OPT,Career Fair,2025-10-25
170,99f0bf95-09a4-4f0c-b528-ae4df3b5eeae,60c2f150-87e8-43cb-b7ff-b29511b7d13b,EMP000170,Data Analyst,Consulting,Senior,Internship,Hybrid,Dallas,TX,USA,04/01/2022,04/07/2022,10/21/2022,01/26/2024,USD,118423.0,OPT,Career Fair,2025-10-25
171,b169e273-4a7f-4604-96ce-e2e306ac7559,4361fab5-95e6-465a-afca-efd45f5a0173,EMP000171,QA Engineer,Analytics,Senior,Internship,On-site,Boston,MA,USA,02/24/2026,02/27/2026,07/18/2026,12/31/2026,USD,121981.0,PR,Career Fair,2025-10-25
172,003f2921-a1a8-4da3-b508-f8124d14ce8c,c05163b5-7785-4dfe-a3a4-6233a035fc5a,EMP000172,Cloud Engineer,Product,Mid,Internship,On-site,Bengaluru,NA,India,09/25/2021,10/09/2021,06/12/2022,06/05/2024,USD,101774.0,Other,Career Fair,2025-10-25
173,bbeb6f7f-a2fa-4b9f-b635-0bcae7998817,1118f5ad-e250-45d9-a429-14c871ac7c16,EMP000173,Data Engineer,Consulting,Junior,Contract,Hybrid,St. Louis,MO,USA,06/28/2022,07/10/2022,11/18/2022,12/05/2023,USD,118958.0,Citizen,LinkedIn,2025-10-25
174,265d4427-9475-4a56-9c4a-be6f873630d1,cad87b71-e4d5-4fb0-811d-be44de277bdd,EMP000174,Security Analyst,Quality,Junior,Internship,Hybrid,Austin,TX,USA,06/28/2022,07/10/2022,11/09/2022,08/26/2024,USD,90294.0,OPT,Career Fair,2025-10-25
175,61404307-db38-47ea-a05c-e10d6d33feef,68a1c713-a5a1-440c-a597-ced80292e4cb,EMP000175,Cloud Engineer,Engineering,Senior,Full-time,Hybrid,Dallas,TX,USA,05/06/2023,05/10/2023,08/15/2023,09/15/2024,USD,89182.0,OPT,Handshake,2025-10-25
176,6dfd9448-54aa-4092-bed7-d6cccd413f9d,26466643-f361-41f4-9426-d8503eeb91b1,EMP000176,QA Engineer,Quality,Intern,Full-time,On-site,Boston,MA,USA,03/16/2023,03/30/2023,08/30/2023,01/13/2025,USD,136027.0,PR,Handshake,2025-10-25
177,a2e56a0b-8f66-455a-84ef-42470365ded1,ea052a7d-e5ec-4e44-9221-4846708c1b6a,EMP000177,QA Engineer,Quality,Junior,Contract,Remote,Dallas,TX,USA,05/08/2021,05/08/2021,10/18/2021,06/12/2023,USD,129800.0,Other,Direct Apply,2025-10-25
178,d978bf3c-d29d-4635-97c6-108b6d5d1990,6a88d3e9-7e98-4053-8a4b-c19b99e52744,EMP000178,Security Analyst,Security,Junior,Internship,Remote,Boston,MA,USA,04/15/2023,04/26/2023,10/15/2023,04/27/2025,USD,97543.0,STEM OPT,Career Fair,2025-10-25
179,b5e2a623-edb5-485f-9b48-1ebebb4fdc27,fd4dd0b2-18c6-4b7c-b4a4-3e30e0c12e0a,EMP000179,Data Engineer,Consulting,Senior,Full-time,On-site,St. Louis,MO,USA,01/01/2021,01/07/2021,08/07/2021,10/21/2022,USD,111328.0,STEM OPT,Direct Apply,2025-10-25
180,fc5edca3-ec01-43be-84bf-3f53873aa985,911bc0f4-2ffc-4a60-a915-29d7d56a16dd,EMP000180,Product Analyst,Consulting,Mid,Full-time,On-site,Dallas,TX,USA,06/05/2025,06/17/2025,10/20/2025,12/31/2026,USD,90017.0,OPT,Direct Apply,2025-10-25
181,249d1483-419b-4b39-b772-a16120ebe204,180ffef9-c257-4abe-b86d-110ae9e7686c,EMP000181,ML Engineer,Consulting,Senior,Full-time,On-site,Hyderabad,NA,India,11/22/2024,11/28/2024,04/24/2025,12/25/2026,USD,119809.0,H1B,LinkedIn,2025-10-25
182,857cc8a7-dc7b-4327-9ca0-6fc44855680a,ae26383c-6f38-4ac5-a788-0f078f9b3de9,EMP000182,Business Analyst,Product,Intern,Full-time,Remote,Hyderabad,NA,India,04/29/2024,04/29/2024,07/24/2024,03/31/2026,USD,103443.0,OPT,Handshake,2025-10-25
183,0c595772-5aa4-4457-867d-4f60c80dcd77,4ff06c83-6109-4dc1-a2c6-5b9985422148,EMP000183,ML Engineer,Engineering,Junior,Full-time,Remote,Dallas,TX,USA,01/01/2025,01/10/2025,05/13/2025,12/31/2026,USD,88681.0,OPT,LinkedIn,2025-10-25
